,Sample_ID,Run_ID,Release_version,Sex,Body_site
2574,SRS483375,SRR996485,2.0,male ,volar forearm 
2575,SRS483375,SRR996520,2.0,male ,volar forearm 
2576,SRS483375,SRR996555,2.0,male ,volar forearm 
2577,SRS483375,SRR996590,2.0,male ,volar forearm 
2594,SRS483380,SRR996490,2.0,male ,volar forearm 
2595,SRS483380,SRR996525,2.0,male ,volar forearm 
2596,SRS483380,SRR996560,2.0,male ,volar forearm 
2597,SRS483380,SRR996595,2.0,male ,volar forearm 
2618,SRS483386,SRR996495,2.0,male ,volar forearm 
2619,SRS483386,SRR996530,2.0,male ,volar forearm 
2620,SRS483386,SRR996565,2.0,male ,volar forearm 
2621,SRS483386,SRR996600,2.0,male ,volar forearm 
2634,SRS483390,SRR996500,2.0,male ,volar forearm 
2635,SRS483390,SRR996535,2.0,male ,volar forearm 
2636,SRS483390,SRR996570,2.0,male ,volar forearm 
2637,SRS483390,SRR996605,2.0,male ,volar forearm 
2658,SRS483396,SRR996505,2.0,male ,volar forearm 
2659,SRS483396,SRR996540,2.0,male ,volar forearm 
2660,SRS483396,SRR996575,2.0,male ,volar forearm 
2661,SRS483396,SRR996610,2.0,male ,volar forearm 
2674,SRS483400,SRR996510,2.0,male ,volar forearm 
2675,SRS483400,SRR996545,2.0,male ,volar forearm 
2676,SRS483400,SRR996580,2.0,male ,volar forearm 
2677,SRS483400,SRR996615,2.0,male ,volar forearm 
2690,SRS483418,SRR996659,2.0,male ,volar forearm 
2691,SRS483418,SRR996747,2.0,male ,volar forearm 
2692,SRS483419,SRR996660,2.0,male ,volar forearm 
2693,SRS483419,SRR996748,2.0,male ,volar forearm 
2712,SRS483429,SRR996670,2.0,male ,volar forearm 
2713,SRS483429,SRR996758,2.0,male ,volar forearm 
2714,SRS483430,SRR996671,2.0,male ,volar forearm 
2715,SRS483430,SRR996759,2.0,male ,volar forearm 
2716,SRS483431,SRR996672,2.0,male ,volar forearm 
2717,SRS483431,SRR996760,2.0,male ,volar forearm 
2734,SRS483440,SRR996681,2.0,male ,volar forearm 
2735,SRS483440,SRR996769,2.0,male ,volar forearm 
2736,SRS483441,SRR996682,2.0,male ,volar forearm 
2737,SRS483441,SRR996770,2.0,male ,volar forearm 
2738,SRS483442,SRR996683,2.0,male ,volar forearm 
2739,SRS483442,SRR996771,2.0,male ,volar forearm 
2760,SRS483453,SRR996694,2.0,male ,volar forearm 
2761,SRS483453,SRR996782,2.0,male ,volar forearm 
2778,SRS483462,SRR996703,2.0,male ,volar forearm 
2779,SRS483462,SRR996791,2.0,male ,volar forearm 
2780,SRS483463,SRR996704,2.0,male ,volar forearm 
2781,SRS483463,SRR996792,2.0,male ,volar forearm 
2782,SRS483464,SRR996705,2.0,male ,volar forearm 
2783,SRS483464,SRR996793,2.0,male ,volar forearm 
2800,SRS483473,SRR996714,2.0,male ,volar forearm 
2801,SRS483473,SRR996802,2.0,male ,volar forearm 
2802,SRS483474,SRR996715,2.0,male ,volar forearm 
2803,SRS483474,SRR996803,2.0,male ,volar forearm 
2804,SRS483475,SRR996716,2.0,male ,volar forearm 
2805,SRS483475,SRR996804,2.0,male ,volar forearm 
