,Sample ID,Run ID,Release version,Sample ID,Sex,Body site
283,SRS451740,SRR920189,2.0,,,
284,SRS451741,SRR920143,2.0,,,
285,SRS451741,SRR920190,2.0,,,
286,SRS451742,SRR920144,2.0,,,
287,SRS451742,SRR920191,2.0,,,
288,SRS451743,SRR920145,2.0,,,
289,SRS451743,SRR920192,2.0,,,
290,SRS451744,SRR920146,2.0,,,
291,SRS451744,SRR920193,2.0,,,
292,SRS451745,SRR920147,2.0,,,
293,SRS451745,SRR920194,2.0,,,
294,SRS451746,SRR920148,2.0,,,
295,SRS451746,SRR920195,2.0,,,
296,SRS451747,SRR920149,2.0,,,
297,SRS451747,SRR920196,2.0,,,
298,SRS451748,SRR920150,2.0,,,
299,SRS451748,SRR920197,2.0,,,
300,SRS451749,SRR920151,2.0,,,
301,SRS451749,SRR920198,2.0,,,
302,SRS451750,SRR920152,2.0,,,
303,SRS451750,SRR920199,2.0,,,
304,SRS451751,SRR920153,2.0,,,
305,SRS451751,SRR920200,2.0,,,
306,SRS451752,SRR920154,2.0,,,
307,SRS451752,SRR920201,2.0,,,
308,SRS451753,SRR920155,2.0,,,
309,SRS451753,SRR920202,2.0,,,
310,SRS451754,SRR920156,2.0,,,
311,SRS451754,SRR920203,2.0,,,
312,SRS451755,SRR920157,2.0,,,
313,SRS451755,SRR920204,2.0,,,
314,SRS451756,SRR920205,2.0,,,
315,SRS451756,SRR920236,2.0,,,
316,SRS451757,SRR920206,2.0,,,
317,SRS451757,SRR920237,2.0,,,
318,SRS451758,SRR920207,2.0,,,
319,SRS451758,SRR920238,2.0,,,
320,SRS451759,SRR920208,2.0,,,
321,SRS451759,SRR920239,2.0,,,
322,SRS451760,SRR920209,2.0,,,
323,SRS451760,SRR920240,2.0,,,
324,SRS451761,SRR920210,2.0,,,
325,SRS451761,SRR920241,2.0,,,
326,SRS451762,SRR920211,2.0,,,
327,SRS451762,SRR920242,2.0,,,
328,SRS451763,SRR920212,2.0,,,
329,SRS451763,SRR920243,2.0,,,
330,SRS451764,SRR920213,2.0,,,
331,SRS451764,SRR920244,2.0,,,
332,SRS451765,SRR920214,2.0,,,
333,SRS451765,SRR920245,2.0,,,
334,SRS451766,SRR920215,2.0,,,
335,SRS451766,SRR920246,2.0,,,
336,SRS451767,SRR920216,2.0,,,
337,SRS451767,SRR920247,2.0,,,
338,SRS451768,SRR920217,2.0,,,
339,SRS451768,SRR920248,2.0,,,
